Gene ID	CCDS ID
ENSMUSG00000064036	
ENSMUSG00000037636	CCDS40925
ENSMUSG00000039032	
ENSMUSG00000030663	
ENSMUSG00000064036	
ENSMUSG00000057215	
ENSMUSG00000097248	
ENSMUSG00000033554	CCDS17782
ENSMUSG00000105174	
ENSMUSG00000064036	CCDS50319
ENSMUSG00000037636	
ENSMUSG00000033554	
ENSMUSG00000087621	
ENSMUSG00000101003	
ENSMUSG00000064036	
ENSMUSG00000097248	
ENSMUSG00000101003	
ENSMUSG00000079179	
ENSMUSG00000026095	CCDS14954
ENSMUSG00000033554	
ENSMUSG00000097248	
ENSMUSG00000087621	
ENSMUSG00000064036	CCDS79663
ENSMUSG00000097248	
ENSMUSG00000070822	CCDS52021
ENSMUSG00000105108	
ENSMUSG00000087621	
ENSMUSG00000070822	CCDS52021
ENSMUSG00000053873	CCDS51619
ENSMUSG00000097248	
ENSMUSG00000026095	CCDS69888
ENSMUSG00000082769	
ENSMUSG00000097248	
ENSMUSG00000040562	CCDS17746
ENSMUSG00000048758	CCDS23476
ENSMUSG00000070822	
ENSMUSG00000026095	
ENSMUSG00000097248	
ENSMUSG00000079179	
ENSMUSG00000070822	
ENSMUSG00000097248	
ENSMUSG00000039032	CCDS19980
ENSMUSG00000079179	
ENSMUSG00000086523	
ENSMUSG00000022201	
ENSMUSG00000048758	
ENSMUSG00000070822	CCDS52021
ENSMUSG00000097248	
ENSMUSG00000040562	
ENSMUSG00000079179	
ENSMUSG00000026095	
ENSMUSG00000097248	
ENSMUSG00000039032	
ENSMUSG00000022201	
ENSMUSG00000097248	
ENSMUSG00000026095	
ENSMUSG00000026841	CCDS50564
ENSMUSG00000025754	
ENSMUSG00000079179	
ENSMUSG00000054106	CCDS20044
ENSMUSG00000040562	
ENSMUSG00000064267	
ENSMUSG00000022201	
ENSMUSG00000085321	
ENSMUSG00000097992	
ENSMUSG00000040562	
ENSMUSG00000102891	
ENSMUSG00000101838	
ENSMUSG00000103162	
ENSMUSG00000102215	
ENSMUSG00000102875	
ENSMUSG00000086007	
ENSMUSG00000109300	
ENSMUSG00000101838	
ENSMUSG00000048758	CCDS23476
ENSMUSG00000086417	
ENSMUSG00000086007	
ENSMUSG00000001497	CCDS25924
ENSMUSG00000104514	
ENSMUSG00000031145	CCDS72329
ENSMUSG00000041872	CCDS35522
ENSMUSG00000001497	
ENSMUSG00000103856	
ENSMUSG00000025754	
ENSMUSG00000054618	
ENSMUSG00000025870	CCDS26530
ENSMUSG00000048758	
ENSMUSG00000086926	
ENSMUSG00000041872	
ENSMUSG00000031145	
ENSMUSG00000026097	
ENSMUSG00000054618	
ENSMUSG00000025870	
ENSMUSG00000001497	CCDS25924
ENSMUSG00000025754	
ENSMUSG00000041872	
ENSMUSG00000048758	
ENSMUSG00000025870	
ENSMUSG00000108771	
ENSMUSG00000026003	CCDS15023
ENSMUSG00000074322	CCDS52100
ENSMUSG00000026851	CCDS15892
ENSMUSG00000041872	
ENSMUSG00000025870	
ENSMUSG00000075390	
ENSMUSG00000039717	
ENSMUSG00000098009	
ENSMUSG00000110393	
ENSMUSG00000048758	
ENSMUSG00000031145	
ENSMUSG00000026851	
ENSMUSG00000110393	
ENSMUSG00000026003	
ENSMUSG00000099757	
ENSMUSG00000001403	CCDS17055
ENSMUSG00000110393	
ENSMUSG00000022329	CCDS37059
ENSMUSG00000049620	CCDS37476
ENSMUSG00000110393	
ENSMUSG00000099757	
ENSMUSG00000026097	CCDS14952
ENSMUSG00000099757	
ENSMUSG00000110393	
ENSMUSG00000026851	
ENSMUSG00000031145	
ENSMUSG00000022329	
ENSMUSG00000001403	
ENSMUSG00000031145	
ENSMUSG00000049620	
ENSMUSG00000104792	
ENSMUSG00000095420	
ENSMUSG00000035472	CCDS25925
ENSMUSG00000086019	
ENSMUSG00000063430	
ENSMUSG00000049620	
ENSMUSG00000022329	
ENSMUSG00000022329	
ENSMUSG00000039934	
ENSMUSG00000006299	CCDS15043
ENSMUSG00000035472	
ENSMUSG00000067909	CCDS53074
ENSMUSG00000035472	
ENSMUSG00000006299	
ENSMUSG00000035472	CCDS49069
ENSMUSG00000087223	
ENSMUSG00000021327	CCDS26274
ENSMUSG00000046450	
ENSMUSG00000089894	
ENSMUSG00000101787	
ENSMUSG00000104766	
ENSMUSG00000053158	
ENSMUSG00000046450	CCDS18110
ENSMUSG00000079419	CCDS50395
ENSMUSG00000022201	
ENSMUSG00000006299	CCDS56631
ENSMUSG00000046450	CCDS18110
ENSMUSG00000022201	
ENSMUSG00000021327	CCDS26274
ENSMUSG00000028750	CCDS18831
ENSMUSG00000079419	
ENSMUSG00000061150	CCDS28428
ENSMUSG00000006299	
ENSMUSG00000100054	
ENSMUSG00000063430	CCDS19550
ENSMUSG00000094238	
ENSMUSG00000021327	
ENSMUSG00000030036	CCDS20273
ENSMUSG00000028750	
ENSMUSG00000006299	
ENSMUSG00000100054	
ENSMUSG00000063430	
ENSMUSG00000071456	
ENSMUSG00000100054	
ENSMUSG00000030036	
ENSMUSG00000101043	
ENSMUSG00000021327	
ENSMUSG00000006299	
ENSMUSG00000097124	
ENSMUSG00000000555	
ENSMUSG00000028750	CCDS18831
ENSMUSG00000063430	
ENSMUSG00000097124	
ENSMUSG00000021327	
ENSMUSG00000064267	CCDS19644
ENSMUSG00000107333	
ENSMUSG00000053158	
ENSMUSG00000021327	
ENSMUSG00000097124	
ENSMUSG00000063430	
ENSMUSG00000063430	
ENSMUSG00000071456	
ENSMUSG00000043621	CCDS18830
ENSMUSG00000045417	CCDS28429
ENSMUSG00000064267	
ENSMUSG00000039865	
ENSMUSG00000071456	
ENSMUSG00000090793	
