Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000238185	RP11-252M21.6		1
ENSG00000223617	LINC00370		1
ENSG00000230233	AF240627.2		1
ENSG00000230403	LINC01066		1
ENSG00000236053	LINC01067		1
ENSG00000261163	LEPREL4	10609	1
ENSG00000265841	MIR548X	100422920	1
ENSG00000231894	WDR95P		1
ENSG00000229792	LINC00399		1
ENSG00000221041	AP001537.1		2
ENSG00000234854	LINC00676	101409253	1
ENSG00000198618	PPIAP22		4
ENSG00000229427	ANKRD26P4		1
ENSG00000255813	AL162497.1		1
ENSG00000201161	RN7SKP10		1
ENSG00000231428	LINC00396		2
ENSG00000232193	AL157359.4		1
ENSG00000229715	EEF1DP3		4
ENSG00000226204	AL157359.3		1
ENSG00000265885	RN7SL783P		1
ENSG00000238629	snoU13		1
ENSG00000235965	AP000431.1		2
ENSG00000224821	COL4A2-AS2	100129836	5
ENSG00000235822	LINC01073		1
ENSG00000229289	AP000431.2		1
ENSG00000237637	FRY-AS1	100507099	1
ENSG00000232814	COL4A2-AS1	100874203	2
ENSG00000226818	SLC6A6P1		1
ENSG00000230633	RP11-37E23.5		1
ENSG00000255831	AL139385.1		1
ENSG00000231620	AP000855.4		1
ENSG00000215515	IFIT1P1		2
ENSG00000225239	RPL21P107		1
ENSG00000212609	RNU1-139P		1
ENSG00000259831	LINC00567		1
ENSG00000212293	SNORA16		1
ENSG00000230198	RPL37P4		1
ENSG00000270008	RP11-298P3.4		1
ENSG00000229152	ANKRD10-IT1		1
ENSG00000271486	AP000403.3		1
ENSG00000229336	AP000568.2		1
ENSG00000229800	ATP8A2P2		1
ENSG00000227105	PARP1P1		1
ENSG00000215353	C1QBPP		2
ENSG00000233480	AP000946.2		1
ENSG00000225760	LINC00431		1
ENSG00000233236	AP001171.1		1
ENSG00000225870	LINC00368	101927802	1
ENSG00000251851	RNU6-772P		1
ENSG00000252963	RN7SKP147		1
ENSG00000235875	ARHGEF7-AS2		3
ENSG00000207325	RNY1P4		1
ENSG00000233676	FDPSP6		2
ENSG00000226968	LINC00423	100874167	1
ENSG00000233644	ARHGEF7-IT1		1
ENSG00000234439	KRT18P2		1
ENSG00000227352	ARHGEF7-AS1		1
ENSG00000227604	TOMM22P3		3
ENSG00000233206	RPS3AP1		1
ENSG00000221677	AL161898.1		2
ENSG00000215881	RP11-65D24.1		3
ENSG00000230300	STARD13-IT1		1
ENSG00000261258	FKBP10	60681	1
ENSG00000226903	LINC00354	101928616	1
ENSG00000224924	LINC00320	387486	2
ENSG00000264989	AL136302.1		1
ENSG00000200072	SNORD44		1
ENSG00000260385	RP11-450H6.3		1
ENSG00000229520	LINC00404		1
ENSG00000215351	PPIAP1		3
ENSG00000224243	LINC00403	100505996	1
ENSG00000226771	AP001136.2		1
ENSG00000260102	LINC01070	101928698	1
ENSG00000221210	AP001137.1		1
ENSG00000234730	AF241725.4		1
ENSG00000260343	LINC01043	101928752	1
ENSG00000198434	AF241725.1		1
ENSG00000223626	LINC01044		1
ENSG00000237527	AF241725.6		1
ENSG00000264726	AL162711.1		1
ENSG00000232684	ATP11A-AS1	100874205	1
ENSG00000238265	LINC00317	378828	1
ENSG00000234603	AL356740.1		2
ENSG00000236581	STARD13-AS	100874241	4
ENSG00000267868	RP11-120K24.3		1
ENSG00000188403	IGHV1OR15-9		7
ENSG00000235280	MCF2L-AS1		2
ENSG00000269356	RP11-120K24.4		1
ENSG00000233997	AP000475.2	101927821	1
ENSG00000269376	RP11-120K24.5		1
ENSG00000231882	F10-AS1		1
ENSG00000230371	KARSP2		1
ENSG00000259490	IGHV3OR15-7		2
ENSG00000269125	RP11-98F14.11		1
ENSG00000227075	AP000472.3		1
ENSG00000232662	LDHBP1		2
ENSG00000270961	IGHD5OR15-5A		1
ENSG00000225083	GRTP1-AS1	101930262	1
ENSG00000225083	GRTP1-AS1	101930007	1
ENSG00000233215	AP000472.2	101927843	1
ENSG00000233613	DCUN1D2-AS		1
ENSG00000271317	IGHD4OR15-4A		1
ENSG00000202347	RNU1-16P		1
ENSG00000227208	LINC00552	100130386	1
ENSG00000270783	IGHD3OR15-3A		1
ENSG00000233695	GAS6-AS1		1
ENSG00000271197	IGHD2OR15-2A		1
ENSG00000272695	GAS6-AS2	100506394	1
ENSG00000184856	LINC00308	54143	6
ENSG00000227911	RP11-141M1.1		3
ENSG00000237699	RP11-199F6.4		1
ENSG00000271336	IGHD1OR15-1A		1
ENSG00000264288	AL138999.1		1
ENSG00000265259	RN7SL247P		1
ENSG00000260753	NT5C3B	115024	1
ENSG00000234340	AP000705.8		1
ENSG00000230490	RP11-141M1.3		2
ENSG00000212051	MIR320C2	100302195	1
ENSG00000226921	LINC00454	100874178	2
ENSG00000264365	RP11-621L6.2		1
ENSG00000273321	RP11-621L6.3		1
ENSG00000234535	RP11-37L2.1		1
ENSG00000232986	RP11-179A7.2		1
ENSG00000199636	Y_RNA		1
ENSG00000265094	RP11-178F10.1		1
ENSG00000252397	RNU5A-4P		1
ENSG00000263663	AL161891.1		1
ENSG00000227254	VDAC1P12		1
ENSG00000229373	LINC00452	643365	4
ENSG00000199196	SNORA25		1
ENSG00000215405	GOLGA6L6	727832	3
ENSG00000271850	RP11-16D22.2		1
ENSG00000225179	LINC00457	100874179	1
ENSG00000231136	AP000705.6		1
