EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]	Ensembl Gene ID
			ENSMUSG00000086986
			ENSMUSG00000092056
			ENSMUSG00000084146
546272	NM_001100444		ENSMUSG00000084063
435285	NM_001013823		ENSMUSG00000046474
624698			ENSMUSG00000091585
625240			ENSMUSG00000091585
665729			ENSMUSG00000091585
666169			ENSMUSG00000091585
			ENSMUSG00000089760
			ENSMUSG00000089744
			ENSMUSG00000081567
432600	NM_001205030		ENSMUSG00000069717
101056612	NM_001205030		ENSMUSG00000069717
			ENSMUSG00000043498
77987	NM_198007		ENSMUSG00000038774
69195	NM_153776		ENSMUSG00000049036
17096			ENSMUSG00000042228
17096			ENSMUSG00000042228
17096	NM_010747		ENSMUSG00000042228
17096	NM_001111096		ENSMUSG00000042228
666513			ENSMUSG00000042228
666513			ENSMUSG00000042228
666513	NM_010747		ENSMUSG00000042228
666513	NM_001111096		ENSMUSG00000042228
50497			ENSMUSG00000051396
50497			ENSMUSG00000051396
50497			ENSMUSG00000051396
50497			ENSMUSG00000051396
50497			ENSMUSG00000051396
50497			ENSMUSG00000051396
50497			ENSMUSG00000051396
50497	NM_015765		ENSMUSG00000051396
			ENSMUSG00000089885
			ENSMUSG00000048949
			ENSMUSG00000048949
100039010			ENSMUSG00000095763
234309			ENSMUSG00000031641
234309			ENSMUSG00000031641
234309			ENSMUSG00000031641
234309			ENSMUSG00000031641
234309			ENSMUSG00000031641
234309	NM_145595		ENSMUSG00000031641
			ENSMUSG00000082213
			ENSMUSG00000098217
			ENSMUSG00000090047
100415785	NM_001177484		ENSMUSG00000090225
			ENSMUSG00000082049
			ENSMUSG00000080793
			ENSMUSG00000098126
100038995			ENSMUSG00000095523
100041179			ENSMUSG00000095523
100041253			ENSMUSG00000095523
100041712			ENSMUSG00000095523
100862245			ENSMUSG00000095523
16705	NM_015741		ENSMUSG00000070335
16061			ENSMUSG00000095079
320590			ENSMUSG00000029830
320590			ENSMUSG00000029830
320590			ENSMUSG00000029830
320590	NM_177200		ENSMUSG00000029830
			ENSMUSG00000097942
			ENSMUSG00000091697
100043216	NM_001100446		ENSMUSG00000081218
			ENSMUSG00000079890
			ENSMUSG00000085378
71481			ENSMUSG00000028028
71481			ENSMUSG00000028028
71481			ENSMUSG00000028028
71481	NM_027808		ENSMUSG00000028028
71481			ENSMUSG00000028028
			ENSMUSG00000090353
			ENSMUSG00000085217
18129	NM_010928		ENSMUSG00000027878
			ENSMUSG00000085897
74143			ENSMUSG00000038084
74143			ENSMUSG00000038084
74143			ENSMUSG00000038084
74143			ENSMUSG00000038084
74143			ENSMUSG00000038084
74143			ENSMUSG00000038084
74143			ENSMUSG00000038084
74143	NM_001199177		ENSMUSG00000038084
74143	NM_133752		ENSMUSG00000038084
545763			ENSMUSG00000095475
			ENSMUSG00000083044
			ENSMUSG00000087378
			ENSMUSG00000087642
			ENSMUSG00000087582
			ENSMUSG00000087582
			ENSMUSG00000083743
620639			ENSMUSG00000094855
622719			ENSMUSG00000094855
622731			ENSMUSG00000094855
624049			ENSMUSG00000094855
624421			ENSMUSG00000094855
624507			ENSMUSG00000094855
100862230			ENSMUSG00000094855
			ENSMUSG00000081775
			ENSMUSG00000093673
		NR_102311	ENSMUSG00000085772
			ENSMUSG00000085772
		NR_102312	ENSMUSG00000085772
			ENSMUSG00000095250
			ENSMUSG00000086413
			ENSMUSG00000095787
74762	NM_001081160		ENSMUSG00000043557
74762			ENSMUSG00000043557
74762			ENSMUSG00000043557
74762			ENSMUSG00000043557
74762			ENSMUSG00000043557
74762			ENSMUSG00000043557
74762			ENSMUSG00000043557
74762			ENSMUSG00000043557
			ENSMUSG00000093765
			ENSMUSG00000093765
			ENSMUSG00000083139
			ENSMUSG00000096100
380975	NM_001002900		ENSMUSG00000093789
380975			ENSMUSG00000093789
380975	NM_001024672		ENSMUSG00000093789
554292	NM_001002900		ENSMUSG00000093789
554292			ENSMUSG00000093789
554292	NM_001024672		ENSMUSG00000093789
			ENSMUSG00000080303
			ENSMUSG00000095672
		NR_045477	ENSMUSG00000085944
			ENSMUSG00000084267
12228			ENSMUSG00000022863
12228	NM_009770		ENSMUSG00000022863
			ENSMUSG00000081862
100041057			ENSMUSG00000079190
		NR_040411	ENSMUSG00000085007
			ENSMUSG00000076612
			ENSMUSG00000094514
			ENSMUSG00000094054
			ENSMUSG00000086335
			ENSMUSG00000096155
54604	NM_018814		ENSMUSG00000021140
78767	NM_030172		ENSMUSG00000021176
170625	NM_130796		ENSMUSG00000042364
56534	NM_019960		ENSMUSG00000051456
26971	NM_012045		ENSMUSG00000028749
140491	NM_080464		ENSMUSG00000042717
16158			ENSMUSG00000095456
100038993			ENSMUSG00000095456
100042555			ENSMUSG00000095456
100861969			ENSMUSG00000095456
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094	NM_144906		ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
73094			ENSMUSG00000028524
			ENSMUSG00000050490
18081			ENSMUSG00000037966
18081			ENSMUSG00000037966
18081			ENSMUSG00000037966
18081			ENSMUSG00000037966
18081	NM_013610		ENSMUSG00000037966
57815			ENSMUSG00000027722
57815			ENSMUSG00000027722
57815			ENSMUSG00000027722
57815			ENSMUSG00000027722
57815			ENSMUSG00000027722
57815			ENSMUSG00000027722
57815	NM_021343		ENSMUSG00000027722
57815	NM_001163511		ENSMUSG00000027722
